code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300522,N世名,染料涂料,江苏,35.67,1667.0,6667.0,33517.85,17482.5,4053.37,1882.3,0.28,0.187,4.41,6.05,20160705
300521,N爱司凯,专用机械,广东,55.22,2000.0,8000.0,29108.21,25952.76,1344.95,3513.45,0.44,0.073,3.93,4.12,20160705
000426,兴业矿业,铅锌,内蒙,0.0,96326.54,119388.9,432047.19,82100.34,132588.25,84317.49,0.71,-0.003,2.26,4.17,19960828
603016,新宏泰,电气设备,江苏,38.83,3705.0,14816.0,57508.23,37008.31,7252.93,2165.0,0.15,0.095,4.25,3.48,20160701
002313,日海通讯,通信设备,深圳,0.0,31200.0,31200.0,400772.91,323025.28,47734.01,116665.61,3.74,-0.045,6.1,2.7,20091203
600399,抚顺特钢,特种钢,辽宁,49.48,112962.28,130000.0,1289975.88,731708.81,353272.88,16257.42,0.13,0.038,1.51,4.93,20001229
603958,哈森股份,服饰,江苏,31.21,5436.0,21736.0,122330.25,99679.28,0.0,0.0,0.0,0.155,4.14,4.67,20160629
000151,中成股份,商贸代理,北京,59.86,26654.4,29598.0,265449.84,244071.17,3318.73,44202.65,1.49,0.082,3.52,5.55,20000906
002802,洪汇新材,化工原料,江苏,44.44,2700.0,10800.0,35361.96,19090.03,11060.71,3163.88,0.29,0.113,3.62,5.54,20160629
002716,金贵银业,小金属,湖南,93.67,28810.1,50329.05,673554.69,555338.5,84174.7,52096.26,1.04,0.064,3.98,6.02,20140128
002722,金轮股份,纺织机械,江苏,84.09,4574.16,17546.65,219717.3,123843.96,30562.9,111009.1,6.33,0.14,9.9,4.34,20140128
600502,安徽水利,建筑施工,安徽,43.64,90424.71,90424.71,1338666.75,1110003.88,156026.22,58931.17,0.65,0.051,2.94,3.03,20030415
603029,天鹅股份,专用机械,山东,541.88,2334.0,9334.0,79601.56,40607.93,19461.07,7213.1,0.77,0.026,7.27,7.62,20160427
603131,上海沪工,专用机械,上海,185.89,2500.0,10000.0,45564.26,31017.55,0.0,0.0,0.0,0.109,4.62,17.48,20160607
601127,小康股份,汽车配件,重庆,60.06,14250.0,89250.0,1401947.0,0.0,0.0,0.0,0.0,0.132,3.62,8.78,20160615
300518,盛讯达,软件服务,深圳,80.67,2334.0,9334.0,55804.0,37672.23,924.89,5055.6,0.54,0.193,7.19,8.67,20160624
300428,四通新材,铝,河北,104.88,2020.0,8080.0,70029.15,48922.45,14112.84,29340.1,3.63,0.194,8.0,10.16,20150319
