,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,邦讯技术,17.270,16.450,18.100,18.100,17.030,18.100,0.000,17230427,304438628.590,22575,18.100,10,18.090,28,18.080,20,18.070,15,18.060,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300312
0,特锐德,21.090,21.000,20.900,21.300,20.830,20.890,20.900,16433077,345911655.530,415,20.890,604,20.880,131,20.870,392,20.860,1040,20.850,165,20.900,151,20.910,312,20.920,168,20.930,172,20.940,2016-06-01,15:05:03,300001
0,神州泰岳,8.780,8.780,8.690,8.790,8.630,8.680,8.690,19671394,171170546.150,2345,8.680,753,8.670,1123,8.660,2355,8.650,485,8.640,2576,8.690,659,8.700,1914,8.710,263,8.720,777,8.730,2016-06-01,15:05:03,300002
0,乐普医疗,35.860,36.100,35.950,36.500,35.860,35.950,35.960,3726606,134795921.340,47,35.950,182,35.940,10,35.930,6,35.920,21,35.910,57,35.960,25,35.970,75,36.000,12,36.020,15,36.030,2016-06-01,15:05:03,300003
0,南风股份,19.220,19.230,19.130,19.910,19.020,19.120,19.130,16459956,319831385.100,605,19.120,250,19.110,1322,19.100,26,19.090,10,19.080,78,19.130,341,19.140,522,19.150,489,19.160,342,19.170,2016-06-01,15:05:03,300004
0,探路者,16.730,16.560,16.440,16.800,16.410,16.440,16.450,14502514,239776136.560,407,16.440,583,16.430,612,16.420,647,16.410,991,16.400,99,16.450,186,16.460,54,16.470,133,16.480,15,16.490,2016-06-01,15:05:03,300005
0,莱美药业,9.090,9.070,9.310,9.490,9.050,9.310,9.320,32792836,304762790.400,2163,9.310,1143,9.300,304,9.290,351,9.280,21,9.270,1379,9.320,561,9.330,240,9.340,495,9.350,275,9.360,2016-06-01,15:05:03,300006
0,汉威电子,19.870,19.880,21.040,21.180,19.700,21.040,21.050,12108594,247664459.200,205,21.040,15,21.010,63,21.000,100,20.990,124,20.980,2040,21.050,57,21.060,10,21.070,3,21.080,623,21.090,2016-06-01,15:05:03,300007
0,天海防务,25.540,25.700,25.880,26.290,25.400,25.880,25.890,9534918,246272679.470,437,25.880,1695,25.870,9,25.860,608,25.850,21,25.830,27,25.890,48,25.900,8,25.910,11,25.920,17,25.930,2016-06-01,15:05:03,300008
0,安科生物,23.990,23.090,25.400,25.400,23.990,25.400,0.000,17270767,435905653.780,42166,25.400,178,25.390,8,25.380,47,25.350,1,25.330,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300009
0,立思辰,19.170,19.240,19.190,19.450,19.040,19.190,19.200,17771622,341889708.500,660,19.190,137,19.180,381,19.170,289,19.160,110,19.150,697,19.200,209,19.210,55,19.220,132,19.230,221,19.240,2016-06-01,15:05:03,300010
0,鼎汉技术,23.780,23.860,24.300,24.850,23.520,24.300,24.310,13651761,332877704.350,547,24.300,168,24.290,214,24.280,309,24.270,155,24.260,65,24.310,2,24.320,227,24.330,45,24.350,278,24.360,2016-06-01,15:05:03,300011
0,华测检测,11.120,10.900,11.190,11.590,11.120,11.180,11.190,20751051,235819675.300,523,11.180,251,11.170,248,11.160,706,11.150,28,11.140,86,11.190,1227,11.200,68,11.210,197,11.220,177,11.230,2016-06-01,15:05:03,300012
0,新宁物流,14.790,14.770,14.770,15.190,14.610,14.770,14.780,21241225,315377730.280,540,14.770,517,14.760,106,14.750,66,14.740,77,14.730,158,14.780,101,14.790,422,14.800,20,14.810,70,14.820,2016-06-01,15:05:03,300013
0,亿纬锂能,33.850,34.020,37.420,37.420,33.850,37.420,0.000,21557184,783706976.570,37511,37.420,351,37.410,238,37.400,118,37.390,4,37.360,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300014
0,爱尔眼科,32.900,32.940,33.270,33.760,32.880,33.260,33.270,5140241,171911567.480,17,33.260,44,33.250,21,33.240,135,33.230,51,33.220,70,33.270,14,33.280,5,33.290,23,33.300,164,33.310,2016-06-01,15:05:03,300015
0,北陆药业,21.280,20.840,21.160,21.990,21.150,21.160,21.170,13678023,294111386.850,41,21.160,288,21.150,79,21.140,92,21.130,60,21.120,125,21.170,162,21.180,149,21.190,84,21.200,55,21.210,2016-06-01,15:05:03,300016
0,网宿科技,67.100,67.060,67.340,67.750,66.400,67.330,67.340,12525548,840165269.750,3,67.330,10,67.320,20,67.310,146,67.300,1,67.290,230,67.340,24,67.350,133,67.360,28,67.370,12,67.380,2016-06-01,15:05:03,300017
0,中元华电,11.210,11.230,11.230,11.580,11.180,11.230,11.240,12044546,136654686.160,522,11.230,229,11.220,150,11.210,560,11.200,30,11.190,358,11.240,69,11.250,338,11.260,69,11.270,220,11.280,2016-06-01,15:05:03,300018
0,硅宝科技,0.000,11.750,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300019
0,银江股份,16.100,16.180,16.110,16.320,16.000,16.110,16.120,28354658,457765675.280,907,16.110,1311,16.100,318,16.090,442,16.080,476,16.070,1277,16.120,648,16.130,88,16.140,230,16.150,144,16.160,2016-06-01,15:05:03,300020
0,大禹节水,18.680,18.850,18.890,18.990,18.520,18.880,18.890,6407445,120541485.590,8,18.880,39,18.870,46,18.860,84,18.850,63,18.840,453,18.890,149,18.900,5,18.910,25,18.920,433,18.930,2016-06-01,15:05:03,300021
0,吉峰农机,7.370,7.330,7.320,7.380,7.300,7.320,7.330,9646988,70782710.820,249,7.320,763,7.310,1106,7.300,1034,7.290,73,7.280,1193,7.330,1062,7.340,441,7.350,865,7.360,774,7.370,2016-06-01,15:05:03,300022
0,宝德股份,24.200,24.460,24.470,24.960,24.200,24.460,24.470,16555287,407393213.240,434,24.460,279,24.450,75,24.440,40,24.430,278,24.420,780,24.470,128,24.480,66,24.490,105,24.500,59,24.510,2016-06-01,15:05:03,300023
0,机器人,25.570,25.570,25.400,25.870,25.280,25.400,25.410,36273538,927881841.100,2175,25.400,226,25.390,1122,25.380,584,25.370,824,25.360,131,25.410,294,25.420,225,25.430,28,25.440,56,25.450,2016-06-01,15:05:03,300024
0,华星创业,0.000,30.150,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300025
0,红日药业,14.210,14.190,14.170,14.330,14.130,14.170,14.180,9570124,136167510.370,763,14.170,336,14.160,443,14.150,161,14.140,84,14.130,605,14.180,116,14.190,399,14.200,175,14.210,331,14.220,2016-06-01,15:05:03,300026
0,华谊兄弟,14.920,14.920,15.200,15.610,14.910,15.200,15.210,102411286,1558445451.800,3012,15.200,1170,15.190,1673,15.180,836,15.170,1192,15.160,459,15.210,615,15.220,669,15.230,597,15.240,1235,15.250,2016-06-01,15:05:03,300027
0,金亚科技,17.680,17.740,18.380,18.880,17.580,18.380,18.390,47324995,872708679.230,1735,18.380,283,18.370,59,18.360,482,18.350,141,18.340,306,18.390,1853,18.400,832,18.410,371,18.420,288,18.430,2016-06-01,15:05:03,300028
0,天龙光电,11.870,11.870,12.200,12.290,11.850,12.200,12.210,6202769,75069155.930,1,12.200,124,12.190,299,12.170,30,12.160,71,12.150,292,12.210,466,12.220,108,12.230,157,12.240,489,12.250,2016-06-01,15:05:03,300029
0,阳普医疗,13.850,13.760,13.860,14.200,13.780,13.850,13.860,11485948,160540793.230,783,13.850,25,13.840,70,13.830,223,13.820,38,13.810,144,13.860,74,13.870,315,13.880,286,13.890,304,13.900,2016-06-01,15:05:03,300030
0,宝通科技,24.480,24.450,24.080,24.750,23.900,24.070,24.080,7189065,174770423.230,178,24.070,13,24.060,50,24.050,10,24.040,155,24.030,419,24.080,25,24.090,42,24.100,5,24.130,21,24.150,2016-06-01,15:05:03,300031
0,金龙机电,18.310,18.310,18.340,18.640,18.120,18.340,18.350,21490606,394950802.590,788,18.340,287,18.330,106,18.320,261,18.310,512,18.300,258,18.350,193,18.360,123,18.370,357,18.380,172,18.390,2016-06-01,15:05:03,300032
0,同花顺,81.990,80.480,79.900,82.880,79.710,79.900,79.910,18511795,1497619174.730,568,79.900,19,79.890,44,79.880,170,79.870,202,79.860,416,79.910,94,79.920,9,79.930,30,79.940,589,79.950,2016-06-01,15:05:03,300033
0,钢研高纳,17.550,17.550,17.400,17.750,17.330,17.400,17.420,10226911,178867656.980,656,17.400,26,17.390,111,17.380,59,17.370,274,17.360,64,17.420,983,17.430,149,17.440,53,17.450,149,17.460,2016-06-01,15:05:03,300034
0,中科电气,0.000,13.760,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300035
0,超图软件,21.000,21.280,21.090,21.550,20.810,21.090,21.100,32967215,698224934.310,3209,21.090,1394,21.080,210,21.070,504,21.060,439,21.050,613,21.100,20,21.110,43,21.120,124,21.130,223,21.140,2016-06-01,15:05:03,300036
0,新宙邦,55.390,55.790,57.350,59.500,55.210,57.350,57.360,18266770,1050518881.660,156,57.350,52,57.340,415,57.330,192,57.320,561,57.310,115,57.360,21,57.380,21,57.390,56,57.400,15,57.420,2016-06-01,15:05:03,300037
0,梅泰诺,0.000,56.680,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300038
0,上海凯宝,9.730,9.730,9.720,9.800,9.690,9.720,9.730,10002282,97396627.310,614,9.720,391,9.710,698,9.700,1670,9.690,660,9.680,421,9.730,491,9.740,1085,9.750,998,9.760,895,9.770,2016-06-01,15:05:03,300039
0,九洲电气,13.500,13.590,13.580,13.980,13.390,13.570,13.580,18798855,256969102.310,607,13.570,55,13.560,617,13.550,237,13.540,513,13.530,360,13.580,281,13.590,1506,13.600,56,13.610,318,13.620,2016-06-01,15:05:03,300040
0,回天新材,10.610,10.590,11.220,11.590,10.610,11.210,11.220,23974910,264758904.210,1679,11.210,909,11.200,109,11.190,105,11.180,55,11.170,297,11.220,492,11.230,104,11.240,1134,11.250,82,11.260,2016-06-01,15:05:03,300041
0,朗科科技,29.990,29.800,30.000,30.800,29.760,29.990,30.000,2238423,67712173.620,4,29.990,5,29.980,14,29.970,23,29.950,2,29.930,121,30.000,68,30.010,4,30.040,141,30.050,36,30.060,2016-06-01,15:05:03,300042
0,互动娱乐,0.000,15.800,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300043
0,赛为智能,0.000,12.970,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300044
0,华力创通,17.090,17.110,17.190,17.620,16.990,17.180,17.190,15727126,272023347.910,370,17.180,236,17.170,247,17.160,450,17.150,10,17.140,351,17.190,311,17.200,187,17.210,206,17.220,77,17.230,2016-06-01,15:05:03,300045
0,台基股份,0.000,17.840,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300046
0,天源迪科,17.730,17.900,17.650,17.950,17.550,17.650,17.660,12269348,217144322.790,486,17.650,257,17.640,655,17.630,472,17.620,203,17.610,3,17.660,75,17.670,195,17.680,104,17.690,309,17.700,2016-06-01,15:05:03,300047
0,合康变频,19.600,19.590,19.960,20.500,19.590,19.960,19.970,23289004,467128516.700,2177,19.960,236,19.950,163,19.940,141,19.930,107,19.920,177,19.970,98,19.980,199,19.990,496,20.000,70,20.010,2016-06-01,15:05:03,300048
0,福瑞股份,21.050,21.050,20.980,21.460,20.790,20.970,20.980,6622855,139448590.260,200,20.970,52,20.960,162,20.950,352,20.940,56,20.930,93,20.980,59,20.990,27,21.000,10,21.010,79,21.020,2016-06-01,15:05:03,300049
0,世纪鼎利,13.800,13.780,13.720,14.130,13.680,13.710,13.720,10793090,150070695.620,203,13.710,166,13.700,12,13.690,71,13.680,91,13.660,289,13.720,1731,13.730,78,13.740,497,13.750,37,13.760,2016-06-01,15:05:03,300050
0,三五互联,19.720,19.940,20.140,20.430,19.630,20.130,20.140,36132616,726140717.480,658,20.130,188,20.120,128,20.110,618,20.100,213,20.090,1109,20.140,852,20.150,180,20.160,131,20.170,230,20.180,2016-06-01,15:05:03,300051
0,中青宝,21.350,21.590,21.500,21.860,21.350,21.500,21.510,12789461,276244823.650,865,21.500,226,21.490,185,21.480,246,21.470,223,21.460,7,21.510,93,21.520,160,21.530,208,21.540,63,21.550,2016-06-01,15:05:03,300052
0,欧比特,14.150,14.170,14.640,14.860,14.060,14.640,14.650,39116251,568926375.990,229,14.640,1494,14.630,105,14.620,56,14.610,451,14.600,453,14.650,277,14.660,40,14.670,154,14.680,83,14.690,2016-06-01,15:05:03,300053
0,鼎龙股份,20.010,19.840,20.750,21.200,20.010,20.750,20.760,10399975,216701887.360,52,20.750,10,20.740,10,20.730,55,20.720,82,20.700,245,20.760,73,20.770,70,20.780,34,20.790,200,20.800,2016-06-01,15:05:03,300054
0,万邦达,17.810,17.810,17.830,18.050,17.730,17.830,17.840,9918022,177440984.460,842,17.830,524,17.820,221,17.810,766,17.800,67,17.790,198,17.840,595,17.850,213,17.860,197,17.870,274,17.880,2016-06-01,15:05:03,300055
0,三维丝,16.190,16.160,16.670,17.130,16.050,16.660,16.670,14930737,249917725.530,3,16.660,76,16.650,25,16.630,17,16.620,52,16.610,759,16.670,763,16.680,266,16.690,221,16.700,295,16.710,2016-06-01,15:05:03,300056
0,万顺股份,13.100,12.970,13.210,13.700,13.080,13.210,13.220,9896791,132443219.370,215,13.210,873,13.200,84,13.190,76,13.180,53,13.170,71,13.220,123,13.230,50,13.240,284,13.250,20,13.260,2016-06-01,15:05:03,300057
0,蓝色光标,9.740,9.730,9.770,9.820,9.630,9.760,9.770,19201598,186708048.010,502,9.760,765,9.750,217,9.740,63,9.730,137,9.720,622,9.770,1580,9.780,830,9.790,1902,9.800,923,9.810,2016-06-01,15:05:03,300058
0,东方财富,22.480,21.990,21.990,22.660,21.960,21.980,21.990,190841513,4247108421.240,2559,21.980,1155,21.970,1872,21.960,1058,21.950,178,21.940,204,21.990,16361,22.000,1202,22.010,2128,22.020,489,22.030,2016-06-01,15:05:03,300059
0,康耐特,0.000,28.860,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300061
0,中能电气,0.000,20.800,0.000,0.000,0.000,0.000,0.000,0,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,2016-06-01,15:05:03,300062
0,天龙集团,31.910,31.800,31.380,32.170,30.900,31.380,31.390,6569028,206022251.120,1,31.380,18,31.360,218,31.350,99,31.330,9,31.320,22,31.390,5,31.410,2,31.420,105,31.430,51,31.440,2016-06-01,15:05:03,300063
0,豫金刚石,9.540,9.500,9.690,10.150,9.450,9.690,9.700,11237151,109227785.080,1047,9.690,329,9.680,225,9.670,68,9.660,205,9.650,741,9.700,260,9.710,143,9.720,492,9.730,127,9.740,2016-06-01,15:05:03,300064
0,海兰信,31.790,32.010,32.450,33.290,31.720,32.450,32.460,9043276,295327708.970,82,32.450,10,32.440,2,32.430,161,32.420,26,32.410,32,32.460,3,32.470,15,32.480,213,32.500,3,32.520,2016-06-01,15:05:03,300065
0,三川智慧,6.100,6.070,6.080,6.250,6.070,6.070,6.080,18267383,112126806.290,984,6.070,714,6.060,912,6.050,85,6.040,82,6.030,244,6.080,499,6.090,1663,6.100,967,6.110,1212,6.120,2016-06-01,15:05:03,300066
0,安诺其,8.040,8.010,8.180,8.230,7.970,8.180,8.190,12227499,99653834.410,922,8.180,1253,8.170,537,8.160,3940,8.150,446,8.140,693,8.190,1232,8.200,570,8.210,920,8.220,1630,8.230,2016-06-01,15:05:03,300067
0,南都电源,19.460,19.540,20.390,20.650,19.370,20.380,20.390,33502595,671721493.170,972,20.380,65,20.370,217,20.360,214,20.350,8,20.340,556,20.390,2112,20.400,96,20.410,161,20.420,200,20.430,2016-06-01,15:05:03,300068
0,金利华电,28.900,28.900,28.880,29.290,28.660,28.870,28.880,3134337,90486524.670,20,28.870,125,28.850,3,28.830,6,28.800,25,28.770,658,28.880,13,28.890,459,28.900,9,28.910,105,28.920,2016-06-01,15:05:03,300069
0,碧水源,15.500,15.400,15.330,15.620,15.320,15.330,15.340,16156398,250127042.250,183,15.330,322,15.320,149,15.310,1538,15.300,4,15.290,161,15.340,196,15.350,102,15.360,102,15.380,20,15.390,2016-06-01,15:05:03,300070
