,bd,bid,bp,ic,sd,sid,slid,sp,st
0,14,1,43.0,-17.53,15,002778,5,35.46,2
1,14,1,43.0,-25.79,16,002778,10,31.91,2
2,14,1,43.0,-9.6,32,002778,20,38.87,2
3,14,2,38.03,-6.76,15,002778,5,35.46,2
4,14,2,38.03,-16.09,16,002778,10,31.91,2
5,14,2,38.03,2.21,32,002778,20,38.87,2
6,14,3,38.03,-6.76,15,002778,5,35.46,2
7,14,3,38.03,-16.09,16,002778,10,31.91,2
8,14,3,38.03,2.21,32,002778,20,38.87,2
9,15,4,34.23,3.59,15,002778,5,35.46,2
10,15,4,34.23,-6.78,16,002778,10,31.91,2
11,15,4,34.23,13.56,32,002778,20,38.87,2
12,15,5,35.46,0.0,15,002778,5,35.46,2
13,15,5,35.46,-10.01,16,002778,10,31.91,2
14,15,5,35.46,9.62,32,002778,20,38.87,2
15,8,1,57.6,1.98,9,002788,5,58.74,2
16,8,1,57.6,-16.56,13,002788,10,48.06,2
17,8,1,57.6,-16.18,20,002788,20,48.28,2
18,8,2,53.4,10.0,9,002788,5,58.74,2
19,8,2,53.4,-10.0,13,002788,10,48.06,2
20,8,2,53.4,-9.59,20,002788,20,48.28,2
21,10,3,54.52,-9.12,11,002788,5,49.55,2
22,10,3,54.52,-11.85,13,002788,10,48.06,2
23,10,3,54.52,-11.45,20,002788,20,48.28,2
24,9,4,51.35,14.39,9,002788,5,58.74,2
25,9,4,51.35,-6.41,13,002788,10,48.06,2
26,9,4,51.35,-5.98,20,002788,20,48.28,2
27,11,5,49.55,0.0,11,002788,5,49.55,2
28,11,5,49.55,-3.01,13,002788,10,48.06,2
29,11,5,49.55,-2.56,20,002788,20,48.28,2
30,7,1,63.19,3.47,9,002789,5,65.38,2
31,7,1,63.19,-13.63,12,002789,10,54.58,2
32,7,1,63.19,-6.35,25,002789,20,59.18,2
33,7,2,60.21,8.59,9,002789,5,65.38,2
34,7,2,60.21,-9.35,12,002789,10,54.58,2
35,7,2,60.21,-1.71,25,002789,20,59.18,2
36,8,3,59.46,9.96,9,002789,5,65.38,2
37,8,3,59.46,-8.21,12,002789,10,54.58,2
38,8,3,59.46,-0.47,25,002789,20,59.18,2
39,8,4,59.0,10.81,9,002789,5,65.38,2
40,8,4,59.0,-7.49,12,002789,10,54.58,2
41,8,4,59.0,0.31,25,002789,20,59.18,2
42,11,5,58.58,0.0,11,002789,5,58.58,2
43,11,5,58.58,-6.83,12,002789,10,54.58,2
44,11,5,58.58,1.02,25,002789,20,59.18,2
45,8,1,49.0,-6.43,10,002790,5,45.85,2
46,8,1,49.0,-10.12,14,002790,10,44.04,2
47,8,1,49.0,-13.49,22,002790,20,42.39,2
48,8,2,48.62,-5.7,10,002790,5,45.85,2
49,8,2,48.62,-9.42,14,002790,10,44.04,2
50,8,2,48.62,-12.81,22,002790,20,42.39,2
51,9,3,48.0,-4.48,10,002790,5,45.85,2
52,9,3,48.0,-8.25,14,002790,10,44.04,2
53,9,3,48.0,-11.69,22,002790,20,42.39,2
54,9,4,47.0,-2.45,10,002790,5,45.85,2
55,9,4,47.0,-6.3,14,002790,10,44.04,2
56,9,4,47.0,-9.81,22,002790,20,42.39,2
57,10,5,45.85,0.0,10,002790,5,45.85,2
58,10,5,45.85,-3.95,14,002790,10,44.04,2
59,10,5,45.85,-7.55,22,002790,20,42.39,2
60,6,1,54.55,-2.07,8,002791,5,53.42,2
61,6,1,54.55,-3.57,13,002791,10,52.6,2
62,6,1,54.55,-8.78,21,002791,20,49.76,2
63,7,2,51.58,3.57,8,002791,5,53.42,2
64,7,2,51.58,1.98,13,002791,10,52.6,2
65,7,2,51.58,-3.53,21,002791,20,49.76,2
66,7,3,51.58,3.57,8,002791,5,53.42,2
67,7,3,51.58,1.98,13,002791,10,52.6,2
68,7,3,51.58,-3.53,21,002791,20,49.76,2
69,7,4,53.0,0.79,8,002791,5,53.42,2
70,7,4,53.0,-0.75,13,002791,10,52.6,2
71,7,4,53.0,-6.11,21,002791,20,49.76,2
72,9,5,51.1,0.0,9,002791,5,51.1,2
73,9,5,51.1,2.94,13,002791,10,52.6,2
74,9,5,51.1,-2.62,21,002791,20,49.76,2
75,9,1,77.89,8.11,14,002792,5,84.21,2
76,9,1,77.89,8.43,16,002792,10,84.46,2
77,9,1,77.89,2.08,27,002792,20,79.51,2
78,10,2,80.77,4.26,14,002792,5,84.21,2
79,10,2,80.77,4.57,16,002792,10,84.46,2
80,10,2,80.77,-1.56,27,002792,20,79.51,2
81,14,3,84.21,0.0,14,002792,5,84.21,2
82,14,3,84.21,0.3,16,002792,10,84.46,2
83,14,3,84.21,-5.58,27,002792,20,79.51,2
84,10,4,76.97,9.41,14,002792,5,84.21,2
85,10,4,76.97,9.73,16,002792,10,84.46,2
86,10,4,76.97,3.3,27,002792,20,79.51,2
87,14,5,84.21,0.0,14,002792,5,84.21,2
88,14,5,84.21,0.3,16,002792,10,84.46,2
89,14,5,84.21,-5.58,27,002792,20,79.51,2
90,13,1,56.0,-9.63,15,002793,5,50.61,2
91,13,1,56.0,-16.95,16,002793,10,46.51,2
92,13,1,56.0,-27.63,22,002793,20,40.53,2
93,14,2,56.23,-9.99,15,002793,5,50.61,2
94,14,2,56.23,-17.29,16,002793,10,46.51,2
95,14,2,56.23,-27.92,22,002793,20,40.53,2
96,14,3,56.23,-9.99,15,002793,5,50.61,2
97,14,3,56.23,-17.29,16,002793,10,46.51,2
98,14,3,56.23,-27.92,22,002793,20,40.53,2
99,14,4,57.0,-11.21,15,002793,5,50.61,2
100,14,4,57.0,-18.4,16,002793,10,46.51,2
101,14,4,57.0,-28.89,22,002793,20,40.53,2
102,15,5,50.61,0.0,15,002793,5,50.61,2
103,15,5,50.61,-8.1,16,002793,10,46.51,2
104,15,5,50.61,-19.92,22,002793,20,40.53,2
105,9,1,50.42,-9.44,10,002795,5,45.66,2
106,9,1,50.42,-22.29,13,002795,10,39.18,2
107,9,1,50.42,-2.24,30,002795,20,49.29,2
108,9,2,46.09,-0.93,10,002795,5,45.66,2
109,9,2,46.09,-14.99,13,002795,10,39.18,2
110,9,2,46.09,6.94,30,002795,20,49.29,2
111,10,3,45.66,0.0,10,002795,5,45.66,2
112,10,3,45.66,-14.19,13,002795,10,39.18,2
113,10,3,45.66,7.95,30,002795,20,49.29,2
114,10,4,43.1,5.94,10,002795,5,45.66,2
115,10,4,43.1,-9.1,13,002795,10,39.18,2
116,10,4,43.1,14.36,30,002795,20,49.29,2
117,11,5,42.6,0.0,11,002795,5,42.6,2
118,11,5,42.6,-8.03,13,002795,10,39.18,2
119,11,5,42.6,15.7,30,002795,20,49.29,2
120,11,1,53.21,1.45,14,002796,5,53.98,2
121,11,1,53.21,2.37,22,002796,10,54.47,2
122,11,1,53.21,-100.0,0,002796,20,0.0,1
123,11,2,52.99,1.87,14,002796,5,53.98,2
124,11,2,52.99,2.79,22,002796,10,54.47,2
125,11,2,52.99,-100.0,0,002796,20,0.0,1
126,14,3,53.98,0.0,14,002796,5,53.98,2
127,14,3,53.98,0.91,22,002796,10,54.47,2
128,14,3,53.98,-100.0,0,002796,20,0.0,1
129,12,4,50.13,7.68,14,002796,5,53.98,2
130,12,4,50.13,8.66,22,002796,10,54.47,2
131,12,4,50.13,-100.0,0,002796,20,0.0,1
132,21,5,60.52,0.0,21,002796,5,60.52,2
133,21,5,60.52,-10.0,22,002796,10,54.47,2
134,21,5,60.52,-100.0,0,002796,20,0.0,1
135,5,1,24.67,-6.65,7,002797,5,23.03,2
136,5,1,24.67,1.5,13,002797,10,25.04,2
137,5,1,24.67,-100.0,0,002797,20,0.0,1
138,6,2,23.88,-3.56,7,002797,5,23.03,2
139,6,2,23.88,4.86,13,002797,10,25.04,2
140,6,2,23.88,-100.0,0,002797,20,0.0,1
141,6,3,23.88,-3.56,7,002797,5,23.03,2
142,6,3,23.88,4.86,13,002797,10,25.04,2
143,6,3,23.88,-100.0,0,002797,20,0.0,1
144,7,4,22.53,2.22,7,002797,5,23.03,2
145,7,4,22.53,11.14,13,002797,10,25.04,2
146,7,4,22.53,-100.0,0,002797,20,0.0,1
147,9,5,22.82,0.0,9,002797,5,22.82,2
148,9,5,22.82,9.73,13,002797,10,25.04,2
149,9,5,22.82,-100.0,0,002797,20,0.0,1
150,17,1,76.95,8.11,20,002798,5,83.19,2
151,17,1,76.95,15.4,26,002798,10,88.8,2
152,17,1,76.95,-100.0,0,002798,20,0.0,1
153,19,2,84.25,-1.26,20,002798,5,83.19,2
154,19,2,84.25,5.4,26,002798,10,88.8,2
155,19,2,84.25,-100.0,0,002798,20,0.0,1
156,19,3,84.25,-1.26,20,002798,5,83.19,2
157,19,3,84.25,5.4,26,002798,10,88.8,2
158,19,3,84.25,-100.0,0,002798,20,0.0,1
159,20,4,82.0,1.45,20,002798,5,83.19,2
160,20,4,82.0,8.29,26,002798,10,88.8,2
161,20,4,82.0,-100.0,0,002798,20,0.0,1
162,24,5,86.7,0.0,24,002798,5,86.7,2
163,24,5,86.7,2.42,26,002798,10,88.8,2
164,24,5,86.7,-100.0,0,002798,20,0.0,1
165,0,1,0.0,0.0,0,002799,5,0.0,0
166,0,1,0.0,0.0,0,002799,10,0.0,0
167,0,1,0.0,0.0,0,002799,20,0.0,0
168,0,2,0.0,0.0,0,002799,5,0.0,0
169,0,2,0.0,0.0,0,002799,10,0.0,0
170,0,2,0.0,0.0,0,002799,20,0.0,0
171,0,3,0.0,0.0,0,002799,5,0.0,0
172,0,3,0.0,0.0,0,002799,10,0.0,0
173,0,3,0.0,0.0,0,002799,20,0.0,0
174,0,4,0.0,0.0,0,002799,5,0.0,0
175,0,4,0.0,0.0,0,002799,10,0.0,0
176,0,4,0.0,0.0,0,002799,20,0.0,0
177,0,5,0.0,0.0,0,002799,5,0.0,0
178,0,5,0.0,0.0,0,002799,10,0.0,0
179,0,5,0.0,0.0,0,002799,20,0.0,0
180,22,1,88.0,-100.0,0,002800,5,0.0,1
181,22,1,88.0,-100.0,0,002800,10,0.0,1
182,22,1,88.0,-100.0,0,002800,20,0.0,1
183,23,2,90.13,-100.0,0,002800,5,0.0,1
184,23,2,90.13,-100.0,0,002800,10,0.0,1
185,23,2,90.13,-100.0,0,002800,20,0.0,1
186,23,3,90.13,-100.0,0,002800,5,0.0,1
187,23,3,90.13,-100.0,0,002800,10,0.0,1
188,23,3,90.13,-100.0,0,002800,20,0.0,1
189,0,4,0.0,0.0,0,002800,5,0.0,0
190,0,4,0.0,0.0,0,002800,10,0.0,0
191,0,4,0.0,0.0,0,002800,20,0.0,0
192,0,5,0.0,0.0,0,002800,5,0.0,0
193,0,5,0.0,0.0,0,002800,10,0.0,0
194,0,5,0.0,0.0,0,002800,20,0.0,0
195,0,1,0.0,0.0,0,002801,5,0.0,0
196,0,1,0.0,0.0,0,002801,10,0.0,0
197,0,1,0.0,0.0,0,002801,20,0.0,0
198,0,2,0.0,0.0,0,002801,5,0.0,0
199,0,2,0.0,0.0,0,002801,10,0.0,0
200,0,2,0.0,0.0,0,002801,20,0.0,0
201,0,3,0.0,0.0,0,002801,5,0.0,0
202,0,3,0.0,0.0,0,002801,10,0.0,0
203,0,3,0.0,0.0,0,002801,20,0.0,0
204,0,4,0.0,0.0,0,002801,5,0.0,0
205,0,4,0.0,0.0,0,002801,10,0.0,0
206,0,4,0.0,0.0,0,002801,20,0.0,0
207,0,5,0.0,0.0,0,002801,5,0.0,0
208,0,5,0.0,0.0,0,002801,10,0.0,0
209,0,5,0.0,0.0,0,002801,20,0.0,0
210,0,1,0.0,0.0,0,002802,5,0.0,0
211,0,1,0.0,0.0,0,002802,10,0.0,0
212,0,1,0.0,0.0,0,002802,20,0.0,0
213,0,2,0.0,0.0,0,002802,5,0.0,0
214,0,2,0.0,0.0,0,002802,10,0.0,0
215,0,2,0.0,0.0,0,002802,20,0.0,0
216,0,3,0.0,0.0,0,002802,5,0.0,0
217,0,3,0.0,0.0,0,002802,10,0.0,0
218,0,3,0.0,0.0,0,002802,20,0.0,0
219,0,4,0.0,0.0,0,002802,5,0.0,0
220,0,4,0.0,0.0,0,002802,10,0.0,0
221,0,4,0.0,0.0,0,002802,20,0.0,0
222,0,5,0.0,0.0,0,002802,5,0.0,0
223,0,5,0.0,0.0,0,002802,10,0.0,0
224,0,5,0.0,0.0,0,002802,20,0.0,0
225,20,1,132.11,-13.25,21,300474,5,114.6,2
226,20,1,132.11,-22.47,25,300474,10,102.43,2
227,20,1,132.11,-28.11,32,300474,20,94.98,2
228,20,2,123.75,-7.39,21,300474,5,114.6,2
229,20,2,123.75,-17.23,25,300474,10,102.43,2
