,bd,bid,bp,hp,ic,lp,sd,sid,slid,sp,st
0,14,1,43.0,58.3,35.58,31.91,0,002778,5,0,1
1,14,2,38.03,58.3,53.3,31.91,0,002778,5,0,1
2,14,3,38.03,58.3,53.3,31.91,0,002778,5,0,1
3,15,4,34.23,58.3,70.32,31.91,0,002778,5,0,1
4,15,5,35.46,58.3,64.41,31.91,0,002778,5,0,1
5,8,1,57.6,73.79,28.11,44.7,0,002788,5,0,1
6,8,2,53.4,73.79,38.18,44.7,0,002788,5,0,1
7,10,3,54.52,73.79,35.34,44.7,0,002788,5,0,1
8,9,4,51.35,73.79,43.7,44.7,0,002788,5,0,1
9,11,5,49.55,73.79,48.92,44.7,0,002788,5,0,1
10,7,1,63.19,90.0,42.43,50.0,0,002789,5,0,1
11,7,2,60.21,90.0,49.48,50.0,0,002789,5,0,1
12,8,3,59.46,90.0,51.36,50.0,0,002789,5,0,1
13,8,4,59.0,90.0,52.54,50.0,0,002789,5,0,1
14,11,5,58.58,90.0,53.64,50.0,0,002789,5,0,1
15,8,1,49.0,55.31,12.88,36.11,0,002790,5,0,1
16,8,2,48.62,55.31,13.76,36.11,0,002790,5,0,1
17,9,3,48.0,55.31,15.23,36.11,0,002790,5,0,1
18,9,4,47.0,55.31,17.68,36.11,0,002790,5,0,1
19,10,5,45.85,55.31,20.63,36.11,0,002790,5,0,1
20,6,1,54.55,62.96,15.42,39.8,0,002791,5,0,1
21,7,2,51.58,62.96,22.06,39.8,0,002791,5,0,1
22,7,3,51.58,62.96,22.06,39.8,0,002791,5,0,1
23,7,4,53.0,62.96,18.79,39.8,0,002791,5,0,1
24,9,5,51.1,62.96,23.21,39.8,0,002791,5,0,1
25,9,1,77.89,96.6,24.02,50.3,0,002792,5,0,1
26,10,2,80.77,96.6,19.6,50.3,0,002792,5,0,1
27,14,3,84.21,96.6,14.71,50.3,0,002792,5,0,1
28,10,4,76.97,96.6,25.5,50.3,0,002792,5,0,1
29,14,5,84.21,96.6,14.71,50.3,0,002792,5,0,1
30,13,1,56.0,76.59,36.77,38.92,0,002793,5,0,1
31,14,2,56.23,76.59,36.21,38.92,0,002793,5,0,1
32,14,3,56.23,76.59,36.21,38.92,0,002793,5,0,1
33,14,4,57.0,76.59,34.37,38.92,0,002793,5,0,1
34,15,5,50.61,76.59,51.33,38.92,0,002793,5,0,1
35,9,1,50.42,84.88,68.35,38.21,0,002795,5,0,1
36,9,2,46.09,84.88,84.16,38.21,0,002795,5,0,1
