,bd,bid,bp,hp,ic,lp,sd,sid,slid,sp,st
0,14,1,43.0,43.0,0.0,38.03,0,002778,5,0,1
1,14,2,38.03,43.0,13.07,38.03,0,002778,5,0,1
2,14,3,38.03,43.0,13.07,38.03,0,002778,5,0,1
3,15,4,34.23,36.95,7.95,34.23,0,002778,5,0,1
4,15,5,35.46,36.95,4.2,34.23,0,002778,5,0,1
5,8,1,57.6,62.8,9.03,48.33,0,002788,5,0,1
6,8,2,53.4,62.8,17.6,48.33,0,002788,5,0,1
7,10,3,54.52,62.8,15.19,54.52,0,002788,5,0,1
8,9,4,51.35,62.8,22.3,49.3,0,002788,5,0,1
9,11,5,49.55,53.88,8.74,49.3,0,002788,5,0,1
10,7,1,63.19,65.41,3.51,57.8,0,002789,5,0,1
11,7,2,60.21,65.41,8.64,57.8,0,002789,5,0,1
12,8,3,59.46,65.41,10.01,57.8,0,002789,5,0,1
13,8,4,59.0,65.41,10.86,57.8,0,002789,5,0,1
14,11,5,58.58,61.25,4.56,58.2,0,002789,5,0,1
15,8,1,49.0,50.25,2.55,46.01,0,002790,5,0,1
16,8,2,48.62,50.25,3.35,46.01,0,002790,5,0,1
17,9,3,48.0,49.06,2.21,46.01,0,002790,5,0,1
18,9,4,47.0,49.06,4.38,46.01,0,002790,5,0,1
19,10,5,45.85,47.25,3.05,45.7,0,002790,5,0,1
20,6,1,54.55,55.04,0.9,50.79,0,002791,5,0,1
21,7,2,51.58,55.0,6.63,50.79,0,002791,5,0,1
22,7,3,51.58,55.0,6.63,50.79,0,002791,5,0,1
23,7,4,53.0,55.0,3.77,50.79,0,002791,5,0,1
24,9,5,51.1,53.28,4.27,51.0,0,002791,5,0,1
25,9,1,77.89,94.8,21.71,74.56,0,002792,5,0,1
26,10,2,80.77,94.8,17.37,76.7,0,002792,5,0,1
27,14,3,84.21,88.8,5.45,81.02,0,002792,5,0,1
28,10,4,76.97,94.8,23.16,76.7,0,002792,5,0,1
29,14,5,84.21,88.8,5.45,81.02,0,002792,5,0,1
30,13,1,56.0,59.89,6.95,55.55,0,002793,5,0,1
31,14,2,56.23,59.89,6.51,56.05,0,002793,5,0,1
32,14,3,56.23,59.89,6.51,56.05,0,002793,5,0,1
33,14,4,57.0,59.89,5.07,56.05,0,002793,5,0,1
34,15,5,50.61,54.0,6.7,50.61,0,002793,5,0,1
35,9,1,50.42,50.42,0.0,42.48,0,002795,5,0,1
36,9,2,46.09,50.42,9.39,42.48,0,002795,5,0,1
37,10,3,45.66,47.74,4.56,42.48,0,002795,5,0,1
38,10,4,43.1,47.74,10.77,42.48,0,002795,5,0,1
39,11,5,42.6,44.44,4.32,41.53,0,002795,5,0,1
40,11,1,53.21,65.56,23.21,49.38,0,002796,5,0,1
41,11,2,52.99,65.56,23.72,49.38,0,002796,5,0,1
42,14,3,53.98,65.56,21.45,50.66,0,002796,5,0,1
43,12,4,50.13,65.56,30.78,50.05,0,002796,5,0,1
44,21,5,60.52,62.68,3.57,59.13,0,002796,5,0,1
45,5,1,24.67,25.94,5.15,22.03,0,002797,5,0,1
46,6,2,23.88,25.94,8.63,22.03,0,002797,5,0,1
47,6,3,23.88,25.94,8.63,22.03,0,002797,5,0,1
48,7,4,22.53,24.83,10.21,22.03,0,002797,5,0,1
49,9,5,22.82,42.9,87.99,22.65,0,002797,5,0,1
50,17,1,76.95,97.88,27.2,76.23,0,002798,5,0,1
51,19,2,84.25,97.88,16.18,77.22,0,002798,5,0,1
52,19,3,84.25,97.88,16.18,77.22,0,002798,5,0,1
53,20,4,82.0,97.88,19.37,77.22,0,002798,5,0,1
54,24,5,86.7,93.0,7.27,86.65,0,002798,5,0,1
55,0,1,0.0,0.0,0.0,0.0,0,002799,5,0,0
