,dr,hd,ld,sid,ur
0,-16.09,13,2,002778,51.36
1,-16.29,9,5,002788,16.06
2,-10.63,11,5,002789,24.64
3,-15.65,11,7,002790,18.51
4,-11.88,0,9,002791,11.3
5,-5.15,0,19,002792,6.16
6,-34.67,8,11,002793,52.67
7,-17.1,12,6,002795,54.02
8,-6.81,17,0,002796,35.46
9,-10.7,13,2,002797,94.73
10,-0.94,6,0,002798,28.4
11,0.0,0,0,002799,0.0
12,-4.69,4,0,002800,31.68
13,0.0,0,0,002801,0.0
14,0.0,0,0,002802,0.0
15,-24.55,11,8,300474,36.76
16,-4.78,3,16,300484,16.45
17,-34.7,9,8,300499,32.28
18,-19.6,6,10,300500,21.09
19,-27.14,9,7,300501,37.99
20,-12.6,16,0,300502,36.31
21,-6.2,12,4,300503,40.5
22,-6.19,15,0,300505,48.02
23,-5.07,8,0,300506,62.84
24,-13.88,12,5,300507,42.96
25,-12.6,14,5,300508,76.29
26,-11.74,10,7,300509,42.77
27,-9.88,19,0,300510,59.99
28,-11.92,10,3,300511,28.1
29,-6.86,11,0,300512,38.76
30,-5.95,3,0,300513,26.7
31,0.0,0,0,300515,0.0
32,-4.9,3,0,300516,18.85
33,0.0,0,0,300518,0.0
34,0.0,0,0,300519,0.0
35,0.0,0,0,300521,0.0
36,0.0,0,0,300522,0.0
37,-2.75,11,0,601020,36.59
38,0.0,0,0,601127,0.0
39,-9.39,0,2,601611,13.57
40,-20.34,12,6,601900,21.07
41,0.0,0,0,603016,0.0
42,-5.61,11,8,603027,21.59
43,-28.26,1,18,603028,12.75
44,-10.22,14,3,603029,32.58
45,-14.96,7,8,603101,47.05
46,0.0,0,0,603131,0.0
47,-1.96,16,0,603339,46.85
48,-28.76,9,9,603377,26.46
49,-8.17,11,5,603520,37.92
50,-3.47,19,0,603528,58.51
51,-13.12,1,12,603608,13.49
52,-30.23,5,14,603701,24.93
53,-23.41,15,3,603726,29.76
54,-8.68,5,0,603737,11.79
55,-8.38,9,8,603779,31.62
56,-31.28,0,19,603798,6.67
57,-3.21,12,5,603822,37.62
58,-5.22,8,1,603861,29.88
59,-28.68,5,14,603868,12.16
60,0.0,0,0,603909,0.0
61,-16.33,4,13,603919,15.85
62,0.0,0,0,603958,0.0
63,-2.59,14,0,603959,31.82
