timestr,bankuai,jiaoyizhuangtai,dangriyue,dangrizijinliuru,NONAME1,shangzhangjiashu,chipingjiashu,xiadiejiashu,NONAME3,lingzhanggupiaoid,lingzhangguzhangdiefu,LINGZHANGGUPIAOMING,NONAME2,xiangguanzhishuid,zhishuzhangdiefu,xiangguanzhishuming
2016-06-06T13:20:57,沪股通,额度可用,128.57亿元,1.43亿元,BK0707,68,22,133,1,600884,6.61%,杉杉股份,1,000001,-0.15%,上证指数
2016-06-06T13:20:57,港股通,额度可用,96.81亿元,8.19亿元,MK0144,120,34,131,5,01053,18.37%,重庆钢铁股份,5,HSI,-0.26%,恒生指数
2016-06-06T13:20:57,沪股通,额度可用,128.57亿元,1.43亿元,BK0707,68,22,133,1,600884,6.61%,杉杉股份,1,000001,-0.15%,上证指数
2016-06-06T13:20:57,港股通,额度可用,96.81亿元,8.19亿元,MK0144,120,34,131,5,01053,18.37%,重庆钢铁股份,5,HSI,-0.26%,恒生指数
2016-06-06T13:20:57,沪股通,额度可用,128.57亿元,1.43亿元,BK0707,68,22,133,1,600884,6.61%,杉杉股份,1,000001,-0.15%,上证指数
2016-06-06T13:20:57,港股通,额度可用,96.81亿元,8.19亿元,MK0144,120,34,131,5,01053,18.37%,重庆钢铁股份,5,HSI,-0.26%,恒生指数
2016-06-06T13:48:04,沪股通,额度可用,128.30亿元,1.70亿元,BK0707,62,16,145,1,600729,6.56%,重庆百货,1,000001,-0.20%,上证指数
2016-06-06T13:48:04,港股通,额度可用,95.94亿元,9.06亿元,MK0144,130,34,121,5,01053,18.37%,重庆钢铁股份,5,HSI,-0.19%,恒生指数
2016-06-06T15:04:36,沪股通,股市收盘,122.76亿元,7.24亿元,BK0707,198,43,313,1,603600,10.00%,永艺股份,1,000001,-0.16%,上证指数
2016-06-06T15:04:36,港股通,额度可用,93.36亿元,11.64亿元,MK0144,143,28,114,5,01053,18.37%,重庆钢铁股份,5,HSI,0.27%,恒生指数
2016-06-06T15:24:34,沪股通,股市收盘,122.76亿元,7.24亿元,BK0707,178,36,291,1,603600,10.00%,永艺股份,1,000001,-0.16%,上证指数
2016-06-06T15:24:34,港股通,股市收盘,89.53亿元,15.47亿元,MK0144,152,31,102,5,01053,23.81%,重庆钢铁股份,5,HSI,0.40%,恒生指数
2016-06-06T15:24:34,沪股通,股市收盘,122.76亿元,7.24亿元,BK0707,178,36,291,1,603600,10.00%,永艺股份,1,000001,-0.16%,上证指数
2016-06-06T15:24:34,港股通,股市收盘,89.53亿元,15.47亿元,MK0144,152,31,102,5,01053,23.81%,重庆钢铁股份,5,HSI,0.40%,恒生指数
2016-06-22T15:26:50,沪股通,股市收盘,119.88亿元,10.12亿元,BK0707,181,9,18,1,600446,10.01%,金证股份,1,000001,0.94%,上证指数
2016-06-22T15:26:50,港股通,股市收盘,71.68亿元,33.32亿元,MK0144,226,21,70,5,01053,12.82%,重庆钢铁股份,5,HSI,0.61%,恒生指数
2016-06-27T14:24:55,沪股通,额度可用,128.68亿元,1.32亿元,BK0707,293,12,16,1,601689,10.01%,拓普集团,1,000001,1.25%,上证指数
2016-06-27T14:24:55,港股通,额度可用,78.60亿元,26.40亿元,MK0144,124,29,164,5,00178,9.15%,莎莎国际,5,HSI,-0.41%,恒生指数
2016-06-27T14:24:55,沪股通,额度可用,128.68亿元,1.32亿元,BK0707,293,12,16,1,601689,10.01%,拓普集团,1,000001,1.25%,上证指数
2016-06-27T14:24:55,港股通,额度可用,78.60亿元,26.40亿元,MK0144,124,29,164,5,00178,9.15%,莎莎国际,5,HSI,-0.41%,恒生指数
2016-06-27T14:25:55,沪股通,额度可用,128.68亿元,1.32亿元,BK0707,293,12,16,1,601689,10.01%,拓普集团,1,000001,1.25%,上证指数
2016-06-27T14:25:55,港股通,额度可用,78.60亿元,26.40亿元,MK0144,124,29,164,5,00178,9.15%,莎莎国际,5,HSI,-0.41%,恒生指数
2016-06-27T14:25:55,沪股通,额度可用,128.68亿元,1.32亿元,BK0707,293,12,16,1,601689,10.01%,拓普集团,1,000001,1.25%,上证指数
2016-06-27T14:25:55,港股通,额度可用,78.60亿元,26.40亿元,MK0144,124,29,164,5,00178,9.15%,莎莎国际,5,HSI,-0.41%,恒生指数
2016-06-27T14:25:55,沪股通,额度可用,128.67亿元,1.33亿元,BK0707,292,13,16,1,601689,10.01%,拓普集团,1,000001,1.26%,上证指数
2016-06-27T14:25:55,港股通,额度可用,78.53亿元,26.47亿元,MK0144,128,29,160,5,00178,9.15%,莎莎国际,5,HSI,-0.39%,恒生指数
2016-06-27T14:25:55,沪股通,额度可用,128.67亿元,1.33亿元,BK0707,292,13,16,1,601689,10.01%,拓普集团,1,000001,1.26%,上证指数
2016-06-27T14:25:55,港股通,额度可用,78.53亿元,26.47亿元,MK0144,128,29,160,5,00178,9.15%,莎莎国际,5,HSI,-0.39%,恒生指数
