date,dangriliuru,dangriyue,zongyue,dangrichengjiaojingmaie,mairuchengjiaoe,maichuchengjiaoe,lingzhanggu,lingzhangguzhangdiefu,shangzhengzhishu,zhangdiefu
2016-06-01,24.22,105.78,1656.79,19.01,30.93,11.92,洛阳钼业,10.10%,2913.51,-0.11%
2016-05-31,37.71,92.29,1675.83,34.37,44.52,10.15,北方稀土,10.02%,2916.62,3.34%
2016-05-30,29.85,100.15,1710.20,24.31,30.20,5.89,长电科技,8.50%,2822.45,0.05%
2016-05-27,11.49,118.51,1734.17,6.15,10.45,4.30,皖通高速,8.85%,2821.05,-0.05%
2016-05-26,8.75,121.25,1740.00,3.10,9.91,6.81,洛阳钼业,10.09%,2822.44,0.26%
2016-05-25,15.66,114.34,1742.75,12.59,16.19,3.60,中视传媒,4.66%,2815.09,-0.23%
2016-05-24,2.71,127.29,1755.17,-0.75,5.94,6.69,福田汽车,10.10%,2821.67,-0.77%
2016-05-23,7.06,122.94,1754.16,3.44,10.11,6.67,中科曙光,3.37%,2843.65,0.64%
2016-05-20,6.12,123.88,1757.73,2.14,7.99,5.85,士兰微,10.08%,2825.48,0.66%
2016-05-19,1.20,128.80,1759.87,-1.79,5.15,6.94,百利电气,10.03%,2806.91,-0.02%
2016-05-18,0.50,129.50,1757.70,-4.24,7.89,12.13,陆家嘴,10.00%,2807.51,-1.27%
2016-05-17,3.10,126.90,1752.95,-1.46,6.71,8.17,金证股份,6.40%,2843.68,-0.25%
2016-05-16,4.57,125.43,1751.32,0.32,5.63,5.30,鹏欣资源,10.07%,2850.86,0.84%
2016-05-13,-3.60,133.60,1751.45,-7.31,5.41,12.72,士兰微,10.10%,2827.11,-0.31%
2016-05-12,0.33,129.67,1743.80,-4.56,6.46,11.02,厦门钨业,9.13%,2835.86,-0.04%
2016-05-11,-2.00,132.00,1738.61,-2.40,8.54,10.94,片仔癀,6.81%,2837.04,0.16%
2016-05-10,0.04,129.96,1735.71,-4.12,11.80,15.91,禾丰牧业,9.99%,2832.59,0.02%
2016-05-09,-1.12,131.12,1730.83,-5.34,7.88,13.22,浦东金桥,10.01%,2832.11,-2.79%
2016-05-06,-9.34,139.34,1724.85,-13.60,6.97,20.56,浦东金桥,5.03%,2913.25,-2.82%
2016-05-05,-1.85,131.85,1711.12,-5.64,6.93,12.56,骆驼股份,5.47%,2997.84,0.22%
